video_frame_txt_abv,video_id,frame_id
v025_f603,25,603
v029_f261,29,261
v032_f904,32,904
v033_f580,33,580
v034_f1393,34,1393
v035_f690,35,690
v036_f249,36,249
v037_f472,37,472
v038_f665,38,665
v039_f797,39,797
v042_f221,42,221
v044_f566,44,566
v045_f360,45,360
v059_f818,59,818
v063_f758,63,758
v064_f691,64,691
v065_f1087,65,1087
v067_f493,67,493
v069_f241,69,241
v070_f759,70,759
v076_f510,76,510
v079_f1284,79,1284
v080_f760,80,760
v088_f399,88,399
v090_f1389,90,1389
v025_f744,25,744
v029_f352,29,352
v032_f529,32,529
v033_f808,33,808
v034_f962,34,962
v035_f278,35,278
v036_f52,36,52
v037_f354,37,354
v038_f819,38,819
v039_f1344,39,1344
v042_f867,42,867
v044_f579,44,579
v045_f279,45,279
v059_f797,59,797
v063_f719,63,719
v064_f667,64,667
v067_f418,67,418
v069_f435,69,435
v070_f917,70,917
v076_f432,76,432
v078_f1005,78,1005
v079_f942,79,942
v080_f670,80,670
v088_f475,88,475
v089_f431,89,431
v090_f858,90,858
v025_f865,25,865
v029_f339,29,339
v032_f852,32,852
v033_f686,33,686
v034_f614,34,614
v035_f322,35,322
v036_f342,36,342
v037_f328,37,328
v038_f783,38,783
v039_f372,39,372
v042_f648,42,648
v044_f744,44,744
v045_f472,45,472
v059_f568,59,568
v063_f504,63,504
v064_f627,64,627
v065_f799,65,799
v067_f232,67,232
v069_f228,69,228
v070_f316,70,316
v072_f753,72,753
v076_f722,76,722
v078_f967,78,967
v079_f949,79,949
v080_f183,80,183
v088_f209,88,209
v089_f484,89,484
v090_f1062,90,1062
v025_f242,25,242
v029_f371,29,371
v032_f58,32,58
v033_f1236,33,1236
v034_f840,34,840
v035_f233,35,233
v036_f317,36,317
v037_f548,37,548
v038_f895,38,895
v039_f819,39,819
v042_f119,42,119
v044_f984,44,984
v045_f450,45,450
v059_f972,59,972
v063_f641,63,641
v064_f852,64,852
v065_f554,65,554
v067_f715,67,715
v069_f295,69,295
v070_f902,70,902
v076_f209,76,209
v078_f1145,78,1145
v079_f775,79,775
v080_f566,80,566
v088_f294,88,294
v089_f306,89,306
v090_f1200,90,1200
v025_f848,25,848
v029_f70,29,70
v032_f1304,32,1304
v033_f832,33,832
v034_f1414,34,1414
v035_f825,35,825
v036_f363,36,363
v037_f260,37,260
v038_f586,38,586
v039_f1144,39,1144
v042_f364,42,364
v044_f960,44,960
v045_f194,45,194
v059_f1496,59,1496
v063_f422,63,422
v064_f1080,64,1080
v067_f450,67,450
v069_f168,69,168
v070_f490,70,490
v072_f811,72,811
v076_f399,76,399
v078_f491,78,491
v079_f118,79,118
v080_f629,80,629
v088_f411,88,411
v089_f792,89,792
v090_f1212,90,1212
v025_f992,25,992
v029_f229,29,229
v032_f1082,32,1082
v033_f536,33,536
v034_f781,34,781
v035_f523,35,523
v036_f271,36,271
v037_f488,37,488
v038_f491,38,491
v039_f357,39,357
v042_f748,42,748
v044_f943,44,943
v045_f463,45,463
v059_f1043,59,1043
v063_f424,63,424
v064_f384,64,384
v065_f861,65,861
v067_f836,67,836
v069_f216,69,216
v070_f522,70,522
v076_f128,76,128
v078_f321,78,321
v079_f532,79,532
v080_f210,80,210
v088_f340,88,340
v089_f555,89,555
v090_f1063,90,1063
v025_f813,25,813
v029_f230,29,230
v032_f600,32,600
v033_f301,33,301
v034_f1034,34,1034
v035_f146,35,146
v036_f303,36,303
v037_f391,37,391
v038_f777,38,777
v039_f893,39,893
v042_f596,42,596
v044_f554,44,554
v045_f446,45,446
v059_f1987,59,1987
v064_f864,64,864
v065_f489,65,489
v067_f514,67,514
v070_f695,70,695
v076_f660,76,660
v078_f914,78,914
v079_f617,79,617
v080_f213,80,213
v088_f117,88,117
v089_f243,89,243
v090_f1282,90,1282
v025_f433,25,433
v029_f287,29,287
v032_f484,32,484
v033_f1005,33,1005
v034_f1328,34,1328
v035_f348,35,348
v036_f181,36,181
v037_f497,37,497
v038_f465,38,465
v039_f277,39,277
v042_f634,42,634
v044_f435,44,435
v045_f230,45,230
v059_f596,59,596
v063_f605,63,605
v064_f927,64,927
v065_f387,65,387
v067_f777,67,777
v070_f979,70,979
v076_f654,76,654
v078_f930,78,930
v079_f1220,79,1220
v080_f130,80,130
v088_f419,88,419
v089_f208,89,208
v090_f970,90,970
v025_f927,25,927
v029_f273,29,273
v032_f740,32,740
v033_f372,33,372
v034_f918,34,918
v035_f684,35,684
v036_f105,36,105
v037_f552,37,552
v038_f820,38,820
v039_f485,39,485
v042_f874,42,874
v044_f644,44,644
v045_f295,45,295
v059_f909,59,909
v063_f622,63,622
v064_f1140,64,1140
v067_f883,67,883
v069_f546,69,546
v070_f340,70,340
v076_f222,76,222
v078_f1093,78,1093
v079_f681,79,681
v080_f305,80,305
v089_f268,89,268
v090_f1179,90,1179
v025_f717,25,717
v029_f439,29,439
v032_f848,32,848
v033_f1480,33,1480
v034_f734,34,734
v035_f768,35,768
v036_f104,36,104
v037_f711,37,711
v038_f389,38,389
v039_f909,39,909
v042_f393,42,393
v044_f761,44,761
v045_f228,45,228
v059_f1072,59,1072
v063_f971,63,971
v064_f1183,64,1183
v065_f371,65,371
v067_f747,67,747
v070_f274,70,274
v072_f328,72,328
v076_f541,76,541
v078_f1003,78,1003
v079_f603,79,603
v080_f756,80,756
v088_f384,88,384
v090_f1390,90,1390
