video_frame_txt_abv,video_id,frame_id
v025_f242,25,242
v025_f433,25,433
v025_f603,25,603
v025_f717,25,717
v025_f744,25,744
v025_f813,25,813
v025_f848,25,848
v025_f865,25,865
v025_f927,25,927
v025_f992,25,992
v029_f229,29,229
v029_f230,29,230
v029_f261,29,261
v029_f273,29,273
v029_f287,29,287
v029_f339,29,339
v029_f352,29,352
v029_f371,29,371
v029_f439,29,439
v029_f70,29,70
v032_f1082,32,1082
v032_f1304,32,1304
v032_f484,32,484
v032_f529,32,529
v032_f58,32,58
v032_f600,32,600
v032_f740,32,740
v032_f848,32,848
v032_f852,32,852
v032_f904,32,904
v033_f1005,33,1005
v033_f1236,33,1236
v033_f1480,33,1480
v033_f301,33,301
v033_f372,33,372
v033_f536,33,536
v033_f580,33,580
v033_f686,33,686
v033_f808,33,808
v033_f832,33,832
v034_f1034,34,1034
v034_f1328,34,1328
v034_f1393,34,1393
v034_f1414,34,1414
v034_f614,34,614
v034_f734,34,734
v034_f781,34,781
v034_f840,34,840
v034_f918,34,918
v034_f962,34,962
v035_f146,35,146
v035_f233,35,233
v035_f278,35,278
v035_f322,35,322
v035_f348,35,348
v035_f523,35,523
v035_f684,35,684
v035_f690,35,690
v035_f768,35,768
v035_f825,35,825
v036_f104,36,104
v036_f105,36,105
v036_f181,36,181
v036_f249,36,249
v036_f271,36,271
v036_f303,36,303
v036_f317,36,317
v036_f342,36,342
v036_f363,36,363
v036_f52,36,52
v037_f260,37,260
v037_f328,37,328
v037_f354,37,354
v037_f391,37,391
v037_f472,37,472
v037_f488,37,488
v037_f497,37,497
v037_f548,37,548
v037_f552,37,552
v037_f711,37,711
v038_f389,38,389
v038_f465,38,465
v038_f491,38,491
v038_f586,38,586
v038_f665,38,665
v038_f777,38,777
v038_f783,38,783
v038_f819,38,819
v038_f820,38,820
v038_f895,38,895
v039_f1144,39,1144
v039_f1344,39,1344
v039_f277,39,277
v039_f357,39,357
v039_f372,39,372
v039_f485,39,485
v039_f797,39,797
v039_f819,39,819
v039_f893,39,893
v039_f909,39,909
v044_f435,44,435
v044_f554,44,554
v044_f566,44,566
v044_f579,44,579
v044_f644,44,644
v044_f744,44,744
v044_f761,44,761
v044_f943,44,943
v044_f960,44,960
v044_f984,44,984
v058_f1031,58,1031
v058_f155,58,155
v058_f314,58,314
v058_f405,58,405
v058_f453,58,453
v058_f587,58,587
v058_f708,58,708
v058_f814,58,814
v058_f842,58,842
v058_f902,58,902
v059_f1043,59,1043
v059_f1072,59,1072
v059_f1496,59,1496
v059_f1987,59,1987
v059_f568,59,568
v059_f596,59,596
v059_f797,59,797
v059_f818,59,818
v059_f909,59,909
v059_f972,59,972
v060_f1212,60,1212
v060_f171,60,171
v060_f428,60,428
v060_f513,60,513
v060_f701,60,701
v060_f759,60,759
v060_f771,60,771
v060_f816,60,816
v060_f817,60,817
v060_f887,60,887
v063_f422,63,422
v063_f424,63,424
v063_f504,63,504
v063_f605,63,605
v063_f622,63,622
v063_f641,63,641
v063_f719,63,719
v063_f758,63,758
v063_f971,63,971
v064_f1080,64,1080
v064_f1140,64,1140
v064_f1183,64,1183
v064_f384,64,384
v064_f627,64,627
v064_f667,64,667
v064_f691,64,691
v064_f852,64,852
v064_f864,64,864
v064_f927,64,927
v065_f1087,65,1087
v065_f371,65,371
v065_f387,65,387
v065_f489,65,489
v065_f554,65,554
v065_f799,65,799
v065_f861,65,861
v066_f293,66,293
v066_f389,66,389
v066_f940,66,940
v069_f168,69,168
v069_f216,69,216
v069_f228,69,228
v069_f241,69,241
v069_f295,69,295
v069_f435,69,435
v069_f546,69,546
v072_f328,72,328
v072_f753,72,753
v072_f811,72,811
v076_f128,76,128
v076_f209,76,209
v076_f222,76,222
v076_f399,76,399
v076_f432,76,432
v076_f510,76,510
v076_f541,76,541
v076_f654,76,654
v076_f660,76,660
v076_f722,76,722
v077_f1029,77,1029
v077_f293,77,293
v077_f376,77,376
v077_f538,77,538
v077_f604,77,604
v077_f725,77,725
v077_f760,77,760
v077_f770,77,770
v077_f797,77,797
v077_f810,77,810
v078_f1003,78,1003
v078_f1005,78,1005
v078_f1093,78,1093
v078_f1145,78,1145
v078_f321,78,321
v078_f491,78,491
v078_f914,78,914
v078_f930,78,930
v078_f967,78,967
v079_f118,79,118
v079_f1220,79,1220
v079_f1284,79,1284
v079_f532,79,532
v079_f603,79,603
v079_f617,79,617
v079_f681,79,681
v079_f775,79,775
v079_f942,79,942
v079_f949,79,949
v080_f130,80,130
v080_f183,80,183
v080_f210,80,210
v080_f213,80,213
v080_f305,80,305
v080_f566,80,566
v080_f629,80,629
v080_f670,80,670
v080_f756,80,756
v080_f760,80,760
v081_f134,81,134
v081_f159,81,159
v081_f245,81,245
v081_f348,81,348
v081_f352,81,352
v081_f402,81,402
v081_f407,81,407
v081_f436,81,436
v081_f478,81,478
v081_f553,81,553
v088_f117,88,117
v088_f209,88,209
v088_f294,88,294
v088_f340,88,340
v088_f384,88,384
v088_f399,88,399
v088_f411,88,411
v088_f419,88,419
v088_f475,88,475
v089_f208,89,208
v089_f243,89,243
v089_f268,89,268
v089_f306,89,306
v089_f431,89,431
v089_f484,89,484
v089_f555,89,555
v089_f792,89,792
